区域 发货量
万州 195458878
满洲里 177362024
大朗 145194390
三水西 124797745
祥云 119568000
淄博 112798320
滠口 106077821
大理东 93231650
临沂 88154000
八景 84645000
圃田 67994175
吴家山 65918985
北郊 58793490
东孚 57545129
沙岭 55295186
泉州东 52285250
绥芬河 51024160
平顶山东 44680900
湖田 44041940
兖州北 43245732
新乡 42474279
临汾北 41724500
石南 39614980
邯郸 39283510
闵行 39168961
贵港 37969870
杨浦 36644844
常州 35141680
厉山 33238600
苏州西 33159849
源潭 30976000
安棚 30368280
安亭 28653000
蒙自北 28155500
温州西 27506439
无锡南 27045235
金华西 26853530
盘古寺 25381000
南阳 24571301
郜营 23873560
阿拉山口境 22541929
南仓 22160590
宜昌东 22102700
大红门 21037640
谷城 20707020
平湖南 19571306
青铜峡 18799877
宁波北 18621150
合肥北 16335250
侯马北 15735500
呼和浩特 15465900
佳木斯 15405000
赤峰 15337840
新沂 15312870
上虞 15246000
漯河 14963500
王家营西 14302701
新余 14267200
新筑 14012820
临平 13316000
南康 13132200
云浮 13035000
湛江 12972000
运城 12942000
泸州 12496800
芦潮港 12449000
烟台 12388414
芜湖西 12143700
保定 11783970
德州 11768560
漳州北 11730000
农中 11662440
商丘 11022930
沙河市 10836760
木里图 10755000
侯马 10560000
竹园坝 10304000
驻马店 9943470
乌西 9894200
密山 9795000
胶州 9595190
福州东 9560960
巩义 9523310
乌东 9430000
贵溪北 9182000
杏林 8903820
小黄山 8855000
宜春西 8635055
岑溪 8525000
襄阳 8426500
嘉兴东 8287040
杭州北 8218780
中宁 8148540
金山卫西 7836000
虎林 7810000
泺口 7418457
桃浦 7338439
镇江东 7164200
萍乡 7162000
南京西 7111750
张家口南 7099620
泊头 7080060
兰州东川 6991000
郭塘 6950740
滕州 6860000
安阳 6704750
景德镇东 6633740
宝鸡东 6570500
乌北 6436000
平凉南 6422000
团结村 6357797
黄石东 6270000
白银市 6240640
青州市南 6222300
洛阳东 6104770
中牟 5960000
南定 5768700
鱼嘴 5756500
太原西 5724000
戎庄 5720000
莱芜东 5535342
鸣李 5492000
西峡 5446350
九江南 5439400
昆明西 5170000
阳春 5115000
沙良 5018157
钟山 5005000
桃村 4975590
荣家湾 4955000
醴陵南 4950000
张掖 4785000
蕲春 4770000
鹰潭南 4752500
晋城北 4590000
经棚 4341950
廊坊北 4316090
仪征 4314700
金岭镇 4265740
叶柏寿 4200000
鹤岗 4180000
潍坊西 4146690
前进镇 4125000
费县 4108540
渡口 4070180
钱清 4070000
冷水江东 4015000
汤阴 3904000
常平 3733970
枣阳 3705010
博兴 3646200
沈阳东 3596368
遂溪 3520000
皇后园 3510162
崇左 3510000
厦门高崎 3500600
大毕庄 3464204
阳城 3410000
齐齐哈尔 3371120
沙城 3320100
寿光 3310000
白河 3303036
辉南 3280064
南宁南 3264330
西营门 3204660
锦州 3080742
宁明 3036000
鹿寨 2930000
连云港东 2909000
广通 2885000
南翔 2877700
咸阳北 2860000
连云港港口 2860000
襄阳南 2838450
六景 2818800
新港 2794000
香坊 2773000
百子湾 2755090
石河子 2641000
红埠寺 2620500
普兰店 2609000
平旺 2595000
平原 2562570
银川南 2477170
凭祥 2439000
惠州 2318000
金华南 2307000
奎屯 2282000
鄯善 2214000
铜山 2213000
固安 2192000
临河 2190420
察尔汗 2160000
五常 2140000
焦作北 2135720
穿心店 2130000
临沂北 2126720
濮阳西 2125000
南昌北 2115570
开鲁 2090000
塘沽 2089900
海棠寺 2089000
太谷 2081500
集宁 2069000
海口南 2038800
濮阳东 2038000
柳州东 2036880
安溪 2035000
新浦东 2015050
郴州 1980000
来宾 1950000
十堰 1944990
圃田西 1921715
