区域 收货量
万州 124218610
王家营西 114910410
阿拉山口境 66959789
改貌 35531970
杨浦 28810920
渡口 22612690
大朗 22216410
大红门 20234910
常州 19271660
团结村 19041120
天回镇 18431450
凯里 17806000
中心 14841010
北郊 12377030
芦潮港 11861010
石南 11177190
温州西 10671270
西昌南 7898900
南岳山 7860060
乌东 4912020
谷城 4646580
拉萨西 4318710
北仑港 4232980
遵义南 3862350
咸阳北 3743010
三水西 3640100
龙里 3569484
圃田 3345430
王家营 3283180
菏泽南 3218340
肇庆 3200420
乌北 3005220
宁波北 2767160
羊堡 2519520
二连 2425340
青龙寺 2181420
海口南 2138800
安顺 2009000
鱼嘴 1883140
沙河市 1801520
泸州 1513560
普兴 1512040
吴家山 1320020
菏泽 1288520
大理东 1263800
钟山 1250800
乌西 1240100
苏州西 1187820
乐山北 1164860
颖川堡 1103980
南仓 944080
南充东 867200
六盘水 804680
阿拉山口 784640
曲靖 766880
迤资 730180
西固城 715600
自贡 683860
宜宾北 665580
霍尔果斯境 590200
奎屯 524120
柳家营 505440
遵义北 494940
满洲里(境) 494460
江油 426550
内江东 423500
伊宁 420220
达州 410140
中梁山 398060
湖田 391720
霞凝 380660
湛江 373960
大弯镇 351000
广元南 350650
珠海西 348620
凭祥(境) 347996
泉州东 342940
常平 335840
广安 335500
新筑 325440
遂宁 319801
阿克苏 302772
怀化西 296220
库尔勒 271380
沈阳东 265040
南定 263900
合川 258500
眉山 254810
燕岗 242640
德阳 238000
柳州东 237400
绵阳北 227880
香坊 224500
日喀则西 210200
北碚 203000
南宁南 200980
虢镇 199320
银川南 192500
汉旺 189380
闫庄则 179760
哈密 179300
铁门 176480
昭通 171840
营山 154000
红石峡 150480
小塘西 150140
新港 145940
满洲里 142780
霍尔果斯 140460
齐齐哈尔 136460
兴义 134340
郴州南 114380
和田 113360
芜湖西 110120
茂名西 107440
崇左 107100
茂名 106480
宜昌东 102620
衡阳西 100680
棠溪 99160
株洲北 97760
长沙东 88690
昌吉 85360
蒙自北 82700
福州东 82340
二连(境) 81440
喀什 81000
烟台 78300
蔡家岗 77560
西安西 76160
长庆桥 76160
襄阳 70820
宣威 63360
红果 60500
博乐 60100
重庆南 58100
永川 54160
三明 52840
商丘 52760
赤峰 51800
镇江东 51760
绿化 51540
通辽北 51480
新乡 50640
惠州 48300
嘉峪关 46880
金州 45720
孝泉 44800
笋岗 43120
玉溪南 42820
颍南 40340
扬州东 36300
胶州 35060
何家湾 30900
绩溪县 24600
龙潭寺 24000
滠口 22780
盘古寺 22660
十堰 22120
漯河 20000
磁县 20000
牡丹江 19420
平遥 17740
六枝 15000
白市驿 14380
闵行 12460
开江 12000
西乡 10000
和龙 10000
连云港港口 9880
荣昌 9500
滕州 6800
鲅鱼圈北 5160
牛家梁 4300
