区域 货运量
万州 319677488
满洲里 177504804
大朗 167410800
王家营西 129213111
三水西 128437845
祥云 119568000
淄博 112798320
滠口 106100601
大理东 94495450
阿拉山口境 89501718
临沂 88154000
八景 84645000
圃田 71339605
北郊 71170520
吴家山 67239005
杨浦 65455764
东孚 57545129
沙岭 55295186
常州 54413340
泉州东 52628190
绥芬河 51024160
石南 50792170
平顶山东 44680900
湖田 44433660
兖州北 43245732
新乡 42524919
临汾北 41724500
大红门 41272550
邯郸 39283510
闵行 39181421
温州西 38177709
贵港 37969870
改貌 35667443
苏州西 34347669
厉山 33238600
源潭 30976000
安棚 30368280
安亭 28653000
蒙自北 28238200
无锡南 27045235
金华西 26853530
渡口 26682870
盘古寺 25403660
团结村 25398917
谷城 25353600
南阳 24571301
芦潮港 24310010
郜营 23873560
南仓 23104670
宜昌东 22205320
宁波北 21388310
平湖南 19571306
青铜峡 18799877
天回镇 18431450
凯里 17806000
合肥北 16335250
侯马北 15735500
呼和浩特 15465900
佳木斯 15405000
赤峰 15389640
新沂 15312870
上虞 15246000
漯河 14983500
中心 14841010
乌东 14342020
新筑 14338260
新余 14267200
泸州 14010360
湛江 13345960
临平 13316000
南康 13132200
云浮 13035000
运城 12942000
沙河市 12638280
烟台 12466714
芜湖西 12253820
保定 11783970
德州 11768560
漳州北 11730000
农中 11662440
乌西 11134300
商丘 11075690
木里图 10755000
侯马 10560000
竹园坝 10304000
驻马店 9943470
密山 9795000
福州东 9643300
胶州 9630250
巩义 9523310
乌北 9441220
贵溪北 9182000
杏林 8903820
小黄山 8855000
宜春西 8635055
岑溪 8525000
襄阳 8497320
嘉兴东 8287040
杭州北 8218780
中宁 8148540
西昌南 8008900
南岳山 7860060
金山卫西 7836000
虎林 7810000
鱼嘴 7639640
泺口 7418457
桃浦 7338439
镇江东 7215960
萍乡 7162000
南京西 7111750
张家口南 7099620
泊头 7080060
兰州东川 6991000
郭塘 6950740
滕州 6866800
安阳 6704750
景德镇东 6633740
咸阳北 6603010
宝鸡东 6570500
平凉南 6422000
黄石东 6270000
钟山 6255800
白银市 6240640
青州市南 6222300
洛阳东 6104770
南定 6032600
中牟 5960000
太原西 5724000
戎庄 5720000
莱芜东 5535342
鸣李 5492000
西峡 5446350
九江南 5439400
昆明西 5170000
阳春 5115000
沙良 5018157
桃村 4975590
荣家湾 4955000
醴陵南 4950000
菏泽南 4798280
张掖 4785000
蕲春 4770000
鹰潭南 4752500
北仑港 4745980
肇庆 4711420
晋城北 4590000
拉萨西 4372710
经棚 4341950
廊坊北 4316090
仪征 4314700
金岭镇 4265740
叶柏寿 4200000
鹤岗 4180000
海口南 4177600
潍坊西 4146690
前进镇 4125000
费县 4108540
钱清 4070000
常平 4069810
冷水江东 4015000
汤阴 3904000
遵义南 3862350
沈阳东 3861408
枣阳 3705010
博兴 3646200
崇左 3617100
龙里 3569484
遂溪 3520000
皇后园 3510162
齐齐哈尔 3507580
厦门高崎 3500600
南宁南 3465310
大毕庄 3464204
阳城 3410000
沙城 3320100
寿光 3310000
白河 3303036
王家营 3283180
辉南 3280064
西营门 3204660
锦州 3080742
宁明 3036000
香坊 2997500
新港 2939940
鹿寨 2930000
连云港东 2909000
广通 2885000
南翔 2877700
连云港港口 2869880
青龙寺 2841420
襄阳南 2838450
六景 2818800
奎屯 2806120
百子湾 2755090
银川南 2669670
石河子 2641000
红埠寺 2620500
二连 2612690
普兰店 2609000
平旺 2595000
平原 2562570
菏泽 2547290
羊堡 2519520
凭祥 2439000
惠州 2366300
金华南 2307000
柳州东 2274280
鄯善 2214000
铜山 2213000
固安 2192000
临河 2190420
察尔汗 2160000
五常 2140000
焦作北 2135720
穿心店 2130000
临沂北 2126720
濮阳西 2125000
南昌北 2115570
开鲁 2090000
塘沽 2089900
海棠寺 2089000
太谷 2081500
集宁 2069000
安顺 2058000
濮阳东 2038000
安溪 2035000
新浦东 2015050
郴州 1980000
十堰 1967110
来宾 1950000
圃田西 1921715
定州 1921240
沧州 1911900
三眼桥 1909930
建阳 1852050
衢州 1840830
滦县东 1839166
靖远 1815000
南平南 1805802
凌源 1740392
通辽北 1737380
新香坊 1705000
许昌 1698000
唐山南 1692000
茌平 1642240
蔡家岗 1635560
灵山 1566000
月山 1563540
玉溪南 1551540
颍南 1536140
扬州东 1525600
普兴 1512040
江门南 1487910
甘旗卡 1445000
孝泉 1425450
丹阳东 1413460
周村 1389500
濮阳 1371050
昆山 1342420
邵武 1338500
滁州北 1337276
武威 1320000
哈密 1313300
让湖路 1297500
巨野 1268360
宝泉岭 1265000
安阳西 1264800
林县 1262456
邳州 1234540
永济 1210000
包头 1196000
留庄 1190000
伊宁 1174940
小塘西 1169530
乐山北 1164860
娄山 1149015
绥化 1140000
襄阳北 1137000
颖川堡 1103980
南充东 1098160
衡水 1093500
文安 1092000
新乡北 1092000
翼城 1091000
邓州 1075250
日照 1065500
隆尧县 1050000
吉兰泰 1014000
分宜 990000
威海南 983400
柳园 972054
户县 972000
开封 946700
连云 945000
昌乐 930458
巴彦高勒 922300
扶绥 900000
霞凝 898220
黎塘 875900
定西 867629
蚌埠 840000
荆门 834000
固原 832420
兴隆集 831125
换新天 830000
莒南 825520
阿拉山口 825516
洮南 825000
甸尾 816300
赣州东 812000
六盘水 804680
包头东 782490
三河县 780000
信阳 770000
商南 770000
曲靖 766880
梧州 753260
萧山 743160
平顶山西 737550
西平 734000
狮子营 733000
迤资 730180
泰山 718350
元氏 717950
西固城 715600
绿化 711540
泰州西 702000
自贡 683860
临洺关 667280
麻城 666000
宜宾北 665580
湛江西 660000
临清 658980
关林 655000
盘锦 650600
白山乡 648000
九里 630000
邢台 619380
西丽 600000
三门峡 594000
霍尔果斯境 590200
揭阳 587000
辉山 586900
青岛 584988
株洲北 583760
安庆北 572490
让湖路西 571500
曹县 563860
平遥 557740
满洲里(境) 554460
秦皇岛南 554000
花园子 540000
龙游东 532500
西安西 526160
商丘北 520000
宜州 511000
黄岛港 507080
柳家营 505440
公主岭 496000
平罗 495000
遵义北 494940
库尔勒 491380
桃花村 486000
珠海西 485954
桂林北 485800
龙岩东 485020
郓城 480050
妈湾 478000
肇东 474000
随阳店 472900
白城北 471626
达州 452710
金昌 450000
上饶 444000
笋岗 443170
新华 440055
永州东 440000
澧县 440000
韩城 440000
新友谊 440000
防城港港 432000
金城江 432000
江油 426550
内江东 423500
义乌西 419860
绩溪县 416435
锡林浩特 414100
敦煌 413100
金州 399720
中梁山 398060
南平东 385000
兴义 379010
徽县 378000
黄州 371400
宣化 366000
辛集 360000
茂名西 355240
大弯镇 351000
广元南 350650
桓台 348400
陇西 348080
梁山 348000
凭祥(境) 347996
怀化西 339820
富锦 337000
广安 335500
永安 332470
建三江 330000
临江 330000
拉僧中庙 329000
眉山 327517
玉林 327480
绵阳北 326750
鲅鱼圈北 325160
格尔木 324000
遂宁 319801
德山 317000
湘潭东 312000
阿克苏 302772
廉江 301000
伊川 300000
松西 300000
定陶 299800
海安县 297500
河口北 288835
下元 282000
长春北 280600
卫辉 280460
长垣 277200
孟庙 275000
太原北 275000
燕岗 273800
德阳 273615
清涧 270000
枣庄西 265210
汕头北 262370
霍尔果斯 260460
虢镇 259320
合川 258500
襄阳东 258000
临颍 250000
怀仁 250000
确山 248000
临城 240000
广德 240000
平桥 240000
寨隆 240000
大石桥 240000
明光 240000
隆安 236860
武威南 224380
青岛港 222000
云梦 222000
正定 221200
西宁 220000
卫星 220000
新贤城 216200
三明 212688
日喀则西 210200
横店 209976
随州 206820
白市驿 206380
算王庄 205000
北碚 203000
佛山东 202860
甘谷 200000
济西 199780
德令哈 198000
冠豸山 197760
何家湾 194900
汉旺 189380
天义 189000
弄弄坪 182000
荆门东 180730
临泽 180000
山海关 180000
闫庄则 179760
蔡家坡 179000
深州 179000
牡丹江 178420
乌拉泊 178000
铁门 176480
景德镇南 174000
昭通 171840
聊城 168420
玉田县 168000
西宁东 165000
洛阳 165000
鹤北 165000
南阳寨 157900
嘉峪关 156880
营山 154000
红石峡 150480
柳屯 150000
舵落口 144110
砀山 143000
棠溪 139160
东营 128940
乌海西 128000
桐城 126970
宣威 123360
济源 123200
海拉尔 120000
修武 120000
平南 120000
枝城 120000
白城 120000
河唇 119527
绍兴东 118540
包头西 115500
酒泉 115000
济宁 114980
郴州南 114380
雷州 114000
和田 113360
庆安 112000
莆田东 111000
永康 111000
向塘 111000
应城东 110000
丁山 110000
承德 110000
鸡西 110000
双寨 110000
三塘 110000
镇海西 110000
河源 110000
迎春 110000
商洛 110000
香兰 110000
介休 108000
中鼎物流园 108000
北海 108000
茂名 106480
四合永 105000
东明县 104000
苏家屯 102500
汝州 101000
衡阳西 100680
磁窑 98000
重庆南 95910
七里营 95000
荆门南 94000
长沙东 88690
晋州 88100
张家山 85631
昌吉 85360
二连(境) 81440
