日期 总发货量
20160601 3374460
20160602 4240870
20160603 3700780
20160604 3027790
20160605 1752331
20160606 3880620
20160607 3383980
20160608 4482860
20160609 2899630
20160610 2079820
20160611 1638540
20160612 2265190
20160613 4443640
20160614 3681880
20160615 2860040
20160616 3184560
20160617 4763000
20160618 2448440
20160619 3069440
20160620 2764880
20160621 2370640
20160622 3787820
20160623 5875980
20160624 2428340
20160625 1642980
20160626 1658300
20160627 3380470
20160628 3272432
20160629 3203420
20160630 2626060
20160701 5278340
20160702 1602070
20160703 2140800
20160704 2344900
20160705 1901140
20160706 1022700
20160707 4292420
20160708 3445750
20160709 1563830
20160710 2347790
20160711 2848180
20160712 3430020
20160713 2748060
20160714 3786530
20160715 2316500
20160716 1925640
20160717 1679340
20160718 3285280
20160719 3563671
20160720 3349640
20160721 2828060
20160722 5066380
20160723 4589550
20160724 1565820
20160725 1701200
20160726 3141480
20160727 3955790
20160728 4012070
20160729 4122220
20160730 2938540
20160731 3541840
20160801 2934700
20160802 3340460
20160803 4340540
20160804 4225820
20160805 5523610
20160806 4789510
20160807 2345240
20160808 2672680
20160809 2009460
20160810 3430080
20160811 2294850
20160812 4150340
20160813 2859996
20160814 3581860
20160815 3037968
20160816 3372018
20160817 3078040
20160818 5226520
20160819 4383450
20160820 3838700
20160821 2718260
20160822 2137000
20160823 3916180
20160824 3596330
20160825 2322360
20160826 2781240
20160827 2885500
20160828 3537110
20160829 3781190
20160830 2944410
20160831 4809220
20160901 2267790
20160902 4988810
20160903 3664340
20160904 3056530
20160905 3515850
20160906 4002080
20160907 3155680
20160908 4870840
20160909 5567650
20160910 2752060
20160911 3234000
20160912 3405160
20160913 3762278
20160914 7401360
20160915 3075940
20160916 3555080
20160917 4160580
20160918 3749590
20160919 3859220
20160920 3706640
20160921 3406260
20160922 3785930
20160923 4205980
20160924 4408280
20160925 3183010
20160926 3616840
20160927 3504600
20160928 4391590
20160929 5029580
20160930 4839140
20161001 6222700
20161002 4022890
20161003 3788270
20161004 2113680
20161005 1114280
20161006 3897840
20161007 3346540
20161008 4065660
20161009 4072620
20161010 4633770
20161011 3486100
20161012 4011172
20161013 6269260
20161014 5298530
20161015 4510660
20161016 4357300
20161017 3625220
20161018 3898220
20161019 5500790
20161020 3911930
20161021 6350320
20161022 4531040
20161023 3077520
20161024 6962720
20161025 3658780
20161026 4363630
20161027 4293086
20161028 5948140
20161029 4901100
20161030 3646980
20161031 4799560
20161101 4869380
20161102 3774080
20161103 4705870
20161104 5708770
20161105 4094090
20161106 3146900
20161107 4048200
20161108 5636004
20161109 8123440
20161110 3508630
20161111 5044670
20161112 5272780
20161113 2976680
20161114 4723140
20161115 3817370
20161116 4666280
20161117 6922120
20161118 5232520
20161119 5587040
20161120 5160680
20161121 5810650
20161122 2925660
20161123 5752386
20161124 5038240
20161125 3813160
20161126 4838240
20161127 5280590
20161128 4311400
20161129 5087530
20161130 5523320
