日期 总收货量
20160601 27017885
20160602 15744774
20160603 25413724
20160604 17003781
20160605 14975665
20160606 14110696
20160607 19487150
20160608 19155440
20160609 21127942
20160610 15802029
20160611 15466160
20160612 13607930
20160613 13085345
20160614 15149752
20160615 21897412
20160616 19084762
20160617 19222466
20160618 17216498
20160619 16554490
20160620 15428790
20160621 20905395
20160622 18465520
20160623 22867655
20160624 20728604
20160625 17096003
20160626 15685060
20160627 14839096
20160628 18128160
20160629 21810388
20160630 18336607
20160701 20781616
20160702 21196900
20160703 16000070
20160704 16509520
20160705 19958362
20160706 20030385
20160707 18411551
20160708 18318242
20160709 23695366
20160710 18797942
20160711 16674185
20160712 21228700
20160713 19295294
20160714 20020910
20160715 21614479
20160716 23121451
20160717 18537395
20160718 11927828
20160719 23664069
20160720 15748670
20160721 18140560
20160722 20005978
20160723 21633545
20160724 16464229
20160725 14664160
20160726 19271816
20160727 22242858
20160728 22045054
20160729 21032776
20160730 25113660
20160731 18989299
20160801 13754150
20160802 18393755
20160803 18932350
20160804 16858620
20160805 17853207
20160806 27658046
20160807 16242735
20160808 15661610
20160809 17905680
20160810 22821562
20160811 16948910
20160812 21987769
20160813 25028039
20160814 19027312
20160815 16667538
20160816 19026246
20160817 17715968
20160818 25226441
20160819 17770288
20160820 21375053
20160821 17323774
20160822 16175597
20160823 18216064
20160824 21972367
20160825 19208166
20160826 17773741
20160827 23614901
20160828 22738681
20160829 19640040
20160830 17082095
20160831 21230875
20160901 23009265
20160902 19393621
20160903 18698603
20160904 15836720
20160905 16351950
20160906 18720238
20160907 18759470
20160908 19316307
20160909 22855875
20160910 22800190
20160911 22719768
20160912 17515250
20160913 20311893
20160914 24750595
20160915 22469042
20160916 20177225
20160917 14185377
20160918 16171040
20160919 17210473
20160920 21332980
20160921 21994352
20160922 23381736
20160923 23772838
20160924 25169774
20160925 23359257
20160926 24966973
20160927 28419914
20160928 29647449
20160929 26336700
20160930 21778353
20161001 13093922
20161002 8782765
20161003 16506073
20161004 31194074
20161005 22343042
20161006 23053014
20161007 22064328
20161008 18807007
20161009 20624746
20161010 22473090
20161011 20501408
20161012 25532080
20161013 26244713
20161014 20050348
20161015 25013326
20161016 22138086
20161017 20738140
20161018 23512565
20161019 27332054
20161020 21167357
20161021 25653432
20161022 21870596
20161023 22962930
20161024 17936000
20161025 27992128
20161026 22876960
20161027 25599805
20161028 32126010
20161029 28290177
20161030 32885829
20161031 31177520
20161101 19844574
20161102 23281570
20161103 23376171
20161104 23746243
20161105 24515896
20161106 21042317
20161107 22784137
20161108 23165604
20161109 27553678
20161110 24268136
20161111 24209483
20161112 21540977
20161113 22761620
20161114 19680413
20161115 18833304
20161116 21886004
20161117 21837430
20161118 20058343
20161119 22493485
20161120 16116700
20161121 17438506
20161122 24068777
20161123 22885279
20161124 22202890
20161125 22910640
20161126 22299452
20161127 21154650
20161128 17937720
20161129 21378993
20161130 30356837
