日期 总运量
20160601 30392345
20160602 19985644
20160603 29114504
20160604 20031571
20160605 16727996
20160606 17991316
20160607 22871130
20160608 23638300
20160609 24027572
20160610 17881849
20160611 17104700
20160612 15873120
20160613 17528985
20160614 18831632
20160615 24757452
20160616 22269322
20160617 23985466
20160618 19664938
20160619 19623930
20160620 18193670
20160621 23276035
20160622 22253340
20160623 28743635
20160624 23156944
20160625 18738983
20160626 17343360
20160627 18219566
20160628 21400592
20160629 25013808
20160630 20962667
20160701 26059956
20160702 22798970
20160703 18140870
20160704 18854420
20160705 21859502
20160706 21053085
20160707 22703971
20160708 21763992
20160709 25259196
20160710 21145732
20160711 19522365
20160712 24658720
20160713 22043354
20160714 23807440
20160715 23930979
20160716 25047091
20160717 20216735
20160718 15213108
20160719 27227740
20160720 19098310
20160721 20968620
20160722 25072358
20160723 26223095
20160724 18030049
20160725 16365360
20160726 22413296
20160727 26198648
20160728 26057124
20160729 25154996
20160730 28052200
20160731 22531139
20160801 16688850
20160802 21734215
20160803 23272890
20160804 21084440
20160805 23376817
20160806 32447556
20160807 18587975
20160808 18334290
20160809 19915140
20160810 26251642
20160811 19243760
20160812 26138109
20160813 27888035
20160814 22609172
20160815 19705506
20160816 22398264
20160817 20794008
20160818 30452961
20160819 22153738
20160820 25213753
20160821 20042034
20160822 18312597
20160823 22132244
20160824 25568697
20160825 21530526
20160826 20554981
20160827 26500401
20160828 26275791
20160829 23421230
20160830 20026505
20160831 26040095
20160901 25277055
20160902 24382431
20160903 22362943
20160904 18893250
20160905 19867800
20160906 22722318
20160907 21915150
20160908 24187147
20160909 28423525
20160910 25552250
20160911 25953768
20160912 20920410
20160913 24074171
20160914 32151955
20160915 25544982
20160916 23732305
20160917 18345957
20160918 19920630
20160919 21069693
20160920 25039620
20160921 25400612
20160922 27167666
20160923 27978818
20160924 29578054
20160925 26542267
20160926 28583813
20160927 31924514
20160928 34039039
20160929 31366280
20160930 26617493
20161001 19316622
20161002 12805655
20161003 20294343
20161004 33307754
20161005 23457322
20161006 26950854
20161007 25410868
20161008 22872667
20161009 24697366
20161010 27106860
20161011 23987508
20161012 29543252
20161013 32513973
20161014 25348878
20161015 29523986
20161016 26495386
20161017 24363360
20161018 27410785
20161019 32832844
20161020 25079287
20161021 32003752
20161022 26401636
20161023 26040450
20161024 24898720
20161025 31650908
20161026 27240590
20161027 29892891
20161028 38074150
20161029 33191277
20161030 36532809
20161031 35977080
20161101 24713954
20161102 27055650
20161103 28082041
20161104 29455013
20161105 28609986
20161106 24189217
20161107 26832337
20161108 28801608
20161109 35677118
20161110 27776766
20161111 29254153
20161112 26813757
20161113 25738300
20161114 24403553
20161115 22650674
20161116 26552284
20161117 28759550
20161118 25290863
20161119 28080525
20161120 21277380
20161121 23249156
20161122 26994437
20161123 28637665
20161124 27241130
20161125 26723800
20161126 27137692
20161127 26435240
20161128 22249120
20161129 26466523
20161130 35880157
